Location,Time,Temp(C),Temp(F),Condition,Wind(mph),Wind(kph),Humidity
London,2023-11-02 00:00,11.3,52.4,Light rain shower,23.3,37.4,87
London,2023-11-02 01:00,11.9,53.5,Light drizzle,23.5,37.8,84
London,2023-11-02 02:00,12.4,54.4,Moderate or heavy rain with thunder,23.7,38.2,83
London,2023-11-02 03:00,12.3,54.2,Light rain shower,22.1,35.6,76
London,2023-11-02 04:00,10.2,50.4,Moderate rain,24.2,38.9,84
London,2023-11-02 05:00,10.2,50.3,Light rain shower,24.2,38.9,84
London,2023-11-02 06:00,10.0,50.0,Moderate rain at times,9.4,15.1,94
London,2023-11-02 07:00,11.4,52.6,Light rain,20.6,33.1,88
London,2023-11-02 08:00,11.6,53.0,Light rain shower,19.5,31.3,85
London,2023-11-02 09:00,10.4,50.6,Light rain shower,17.2,27.7,89
London,2023-11-02 10:00,10.3,50.6,Light rain shower,13.4,21.6,91
London,2023-11-02 11:00,10.1,50.1,Light rain shower,18.6,29.9,90
London,2023-11-02 12:00,10.3,50.6,Light rain shower,18.8,30.2,84
London,2023-11-02 13:00,10.3,50.5,Light rain shower,19.5,31.3,83
London,2023-11-02 14:00,9.5,49.0,Light drizzle,21.3,34.2,84
London,2023-11-02 15:00,8.0,46.4,Light drizzle,25.5,41.0,84
London,2023-11-02 16:00,8.0,46.4,Light rain,25.1,40.3,84
London,2023-11-02 17:00,8.0,46.4,Light drizzle,25.1,40.3,84
London,2023-11-02 18:00,8.2,46.7,Light rain,24.8,40.0,84
London,2023-11-02 19:00,8.7,47.6,Light drizzle,23.7,38.2,76
London,2023-11-02 20:00,8.8,47.8,Light drizzle,21.0,33.8,74
London,2023-11-02 21:00,8.7,47.7,Light drizzle,19.7,31.7,73
London,2023-11-02 22:00,8.6,47.5,Light drizzle,17.7,28.4,77
London,2023-11-02 23:00,8.5,47.2,Patchy rain possible,17.9,28.8,74
London,2023-11-03 00:00,8.5,47.4,Patchy rain possible,17.9,28.8,69
London,2023-11-03 01:00,8.5,47.3,Light drizzle,17.2,27.7,70
London,2023-11-03 02:00,8.6,47.5,Light drizzle,16.6,26.6,68
London,2023-11-03 03:00,8.7,47.6,Patchy rain possible,16.3,26.3,68
London,2023-11-03 04:00,8.8,47.8,Patchy rain possible,16.1,25.9,68
London,2023-11-03 05:00,8.7,47.7,Patchy rain possible,15.2,24.5,71
London,2023-11-03 06:00,8.9,48.0,Patchy rain possible,14.5,23.4,73
London,2023-11-03 07:00,8.8,47.8,Patchy rain possible,13.2,21.2,76
London,2023-11-03 08:00,8.9,48.0,Patchy rain possible,11.2,18.0,80
London,2023-11-03 09:00,9.8,49.6,Patchy rain possible,10.3,16.6,80
London,2023-11-03 10:00,10.3,50.5,Sunny,10.7,17.3,78
London,2023-11-03 11:00,11.8,53.2,Patchy rain possible,11.6,18.7,73
London,2023-11-03 12:00,12.3,54.2,Patchy rain possible,11.6,18.7,71
London,2023-11-03 13:00,12.7,54.8,Patchy rain possible,11.0,17.6,69
London,2023-11-03 14:00,12.7,54.9,Sunny,9.8,15.8,67
London,2023-11-03 15:00,12.3,54.1,Patchy rain possible,10.1,16.2,69
London,2023-11-03 16:00,11.2,52.2,Patchy rain possible,11.4,18.4,75
London,2023-11-03 17:00,10.6,51.0,Partly cloudy,11.2,18.0,78
London,2023-11-03 18:00,10.7,51.3,Patchy rain possible,11.6,18.7,75
London,2023-11-03 19:00,10.6,51.0,Patchy rain possible,11.9,19.1,77
London,2023-11-03 20:00,10.5,50.9,Partly cloudy,11.6,18.7,78
London,2023-11-03 21:00,10.2,50.4,Overcast,11.6,18.7,80
London,2023-11-03 22:00,9.9,49.8,Patchy rain possible,12.1,19.4,80
London,2023-11-03 23:00,9.9,49.9,Partly cloudy,11.9,19.1,79
London,2023-11-04 00:00,9.4,48.9,Partly cloudy,10.1,16.2,83
London,2023-11-04 01:00,9.4,49.0,Patchy rain possible,10.7,17.3,86
London,2023-11-04 02:00,9.8,49.6,Patchy rain possible,11.2,18.0,81
London,2023-11-04 03:00,9.3,48.7,Clear,8.7,14.0,81
London,2023-11-04 04:00,9.4,49.0,Partly cloudy,6.9,11.2,82
London,2023-11-04 05:00,9.3,48.7,Light rain shower,6.5,10.4,84
London,2023-11-04 06:00,9.4,49.0,Moderate rain,13.9,22.3,88
London,2023-11-04 07:00,8.5,47.4,Patchy light rain,15.2,24.5,85
London,2023-11-04 08:00,8.6,47.4,Moderate rain,13.9,22.3,90
London,2023-11-04 09:00,9.0,48.1,Light rain,16.1,25.9,91
London,2023-11-04 10:00,11.2,52.1,Patchy rain possible,12.3,19.8,84
London,2023-11-04 11:00,12.1,53.8,Patchy rain possible,13.9,22.3,78
London,2023-11-04 12:00,12.4,54.4,Patchy rain possible,14.8,23.8,74
London,2023-11-04 13:00,12.4,54.4,Light rain shower,15.2,24.5,75
London,2023-11-04 14:00,12.1,53.7,Light rain shower,15.4,24.8,76
London,2023-11-04 15:00,11.7,53.0,Light rain shower,14.1,22.7,78
London,2023-11-04 16:00,11.0,51.9,Light rain shower,13.0,20.9,82
London,2023-11-04 17:00,11.2,52.2,Light rain shower,13.2,21.2,79
London,2023-11-04 18:00,10.3,50.5,Moderate rain,15.0,24.1,87
London,2023-11-04 19:00,9.8,49.6,Moderate rain,9.8,15.8,92
London,2023-11-04 20:00,10.4,50.7,Light drizzle,12.1,19.4,85
London,2023-11-04 21:00,10.0,50.1,Patchy rain possible,8.7,14.0,85
London,2023-11-04 22:00,9.4,49.0,Light rain,7.6,12.2,93
London,2023-11-04 23:00,9.8,49.7,Light rain shower,6.7,10.8,91
